name	category	url	repo	local_dir	ui_signal	evidence
lastmile-ai mcp-agent	other	https://github.com/lastmile-ai/mcp-agent	lastmile-ai/mcp-agent		not-cloned	
nosolosoft opencode-mcp	other	https://github.com/nosolosoft/opencode-mcp	nosolosoft/opencode-mcp		not-cloned	
teabranch agentic-developer-mcp	other	https://github.com/teabranch/agentic-developer-mcp	teabranch/agentic-developer-mcp		not-cloned	
Tritlo lsp-mcp	other	https://github.com/Tritlo/lsp-mcp	Tritlo/lsp-mcp	<STACK_ROOT>/servers/Tritlo-lsp-mcp	none-detected	
uplinq mcp-typescript	other	https://www.npmjs.com/package/@uplinq/mcp-typescript	@uplinq/mcp-typescript		not-cloned	
mizchi lsmcp	other	https://github.com/mizchi/lsmcp	mizchi/lsmcp		not-cloned	
isaacphi mcp-language-server	other	https://github.com/isaacphi/mcp-language-server	isaacphi/mcp-language-server	<STACK_ROOT>/servers/isaacphi-mcp-language-server	none-detected	
mseep lsp-mcp	other	https://www.npmjs.com/package/@mseep/lsp-mcp	@mseep/lsp-mcp		not-cloned	
jonrad lsp-mcp	other	https://github.com/jonrad/lsp-mcp	jonrad/lsp-mcp	<STACK_ROOT>/servers/jonrad-lsp-mcp	none-detected	
Stryk91 lsp-mcp-rs	other	https://github.com/Stryk91/lsp-mcp-rs	Stryk91/lsp-mcp-rs		not-cloned	
beixiyo vsc-lsp-mcp	other	https://github.com/beixiyo/vsc-lsp-mcp	beixiyo/vsc-lsp-mcp		not-cloned	
alexwohletz language-server-mcp	other	https://github.com/alexwohletz/language-server-mcp	alexwohletz/language-server-mcp		not-cloned	
BMAD-METHOD	method	https://github.com/bmad-code-org/BMAD-METHOD	bmad-code-org/BMAD-METHOD		not-cloned	
HKUDS AutoAgent	other	https://github.com/HKUDS/AutoAgent	HKUDS/AutoAgent	<STACK_ROOT>/servers/HKUDS-AutoAgent	detected	<STACK_ROOT>/servers/HKUDS-AutoAgent/docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/llms/google-llms.md:7:- [Gemini - Google AI Studio](https://docs.litellm.ai/docs/providers/gemini) | <STACK_ROOT>/servers/HKUDS-AutoAgent/docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/llms/google-llms.md:8:- [VertexAI - Google Cloud Platform](https://docs.litellm.ai/docs/providers/vertex) | <STACK_ROOT>/servers/HKUDS-AutoAgent/docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/configuration-options.md:6:Si vous exécutez en [Mode GUI](https://docs.all-hands.dev/modules/usage/how-to/gui-mode), les paramètres disponibles dans l'inte
